membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memCis,memCisRabA,memCisRabB,memCisRabC,memCisRabD,memCisRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memMedial,memMedialRabA,memMedialRabB,memMedialRabC,memMedialRabD,memMedialRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTrans,memTransRabA,memTransRabB,memTransRabC,memTransRabD,memTransRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,0.0,0.99225,0.00775,0.0,0.0,0.0,
0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,0.0,0.99212,0.00788,0.0,0.0,0.0,
0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,
0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,
0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,0.0,0.99206,0.00794,0.0,0.0,0.0,
0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,
0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,
0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,0.0,0.99193,0.00807,0.0,0.0,0.0,
0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,0.0,0.97618,0.02382,0.0,0.0,0.0,
